MinMaxAlgorithm vs. GreedyAlgorithm = 5521/4402; 222/184; Draws: 77; Wtfs: 0
GreedyAlgorithm vs. MinMaxAlgorithm = 5488/4417; 205/214; Draws: 95; Wtfs: 0

MinMaxAlgorithm vs. GreedyAlgorithm = 5410/4495; 221/191; Draws: 95; Wtfs: 0
GreedyAlgorithm vs. MinMaxAlgorithm = 5501/4424; 223/203; Draws: 75; Wtfs: 0

MinMaxAlgorithm vs. GreedyAlgorithm = 5379/4551; 176/249; Draws: 70; Wtfs: 0
GreedyAlgorithm vs. MinMaxAlgorithm = 5560/4360; 248/176; Draws: 80; Wtfs: 0

MinMaxAlgorithm vs. GreedyAlgorithm = 5486/4466; 221/200; Draws: 48; Wtfs: 0
GreedyAlgorithm vs. MinMaxAlgorithm = 5520/4393; 209/208; Draws: 87; Wtfs: 0

MinMaxAlgorithm vs. GreedyAlgorithm = 5441/4492; 200/211; Draws: 67; Wtfs: 0
GreedyAlgorithm vs. MinMaxAlgorithm = 5444/4490; 216/211; Draws: 66; Wtfs: 0

MinMaxAlgorithm vs. GreedyAlgorithm = 5517/4410; 213/207; Draws: 73; Wtfs: 0
GreedyAlgorithm vs. MinMaxAlgorithm = 5542/4380; 235/212; Draws: 78; Wtfs: 0

MinMaxAlgorithm vs. GreedyAlgorithm = 5409/4512; 199/178; Draws: 79; Wtfs: 0
GreedyAlgorithm vs. MinMaxAlgorithm = 5538/4390; 207/179; Draws: 72; Wtfs: 0

MinMaxAlgorithm vs. GreedyAlgorithm = 5431/4505; 210/194; Draws: 64; Wtfs: 0
GreedyAlgorithm vs. MinMaxAlgorithm = 5420/4488; 193/193; Draws: 92; Wtfs: 0

MinMaxAlgorithm vs. GreedyAlgorithm = 5498/4424; 193/190; Draws: 78; Wtfs: 0
GreedyAlgorithm vs. MinMaxAlgorithm = 5496/4428; 211/203; Draws: 76; Wtfs: 0

MinMaxAlgorithm vs. GreedyAlgorithm = 5434/4492; 211/223; Draws: 74; Wtfs: 0
GreedyAlgorithm vs. MinMaxAlgorithm = 5545/4378; 195/185; Draws: 77; Wtfs: 0

MinMaxAlgorithm vs. GreedyAlgorithm = 5410/4508; 219/207; Draws: 82; Wtfs: 0
GreedyAlgorithm vs. MinMaxAlgorithm = 5456/4458; 203/193; Draws: 86; Wtfs: 0

MinMaxAlgorithm vs. GreedyAlgorithm = 5505/4425; 212/199; Draws: 70; Wtfs: 0
GreedyAlgorithm vs. MinMaxAlgorithm = 5427/4485; 200/220; Draws: 88; Wtfs: 0

MinMaxAlgorithm vs. GreedyAlgorithm = 5493/4431; 196/212; Draws: 76; Wtfs: 0
GreedyAlgorithm vs. MinMaxAlgorithm = 5426/4474; 231/202; Draws: 100; Wtfs: 0

MinMaxAlgorithm vs. GreedyAlgorithm = 5492/4422; 188/209; Draws: 86; Wtfs: 0
GreedyAlgorithm vs. MinMaxAlgorithm = 5453/4468; 211/192; Draws: 79; Wtfs: 0

MinMaxAlgorithm vs. GreedyAlgorithm = 5557/4370; 197/197; Draws: 73; Wtfs: 0
GreedyAlgorithm vs. MinMaxAlgorithm = 5399/4524; 177/195; Draws: 77; Wtfs: 0

MinMaxAlgorithm vs. GreedyAlgorithm = 5521/4407; 226/182; Draws: 72; Wtfs: 0
GreedyAlgorithm vs. MinMaxAlgorithm = 5408/4528; 185/183; Draws: 64; Wtfs: 0

